Source;Target;Weight;Type
387;20382;0.81130985611;"Undirected"
387;29035;0.816321687511;"Undirected"
399;8399;0.804860086274;"Undirected"
411;4516;0.803214320311;"Undirected"
411;8231;0.844142506856;"Undirected"
411;30493;0.828740568907;"Undirected"
435;5025;0.820223018904;"Undirected"
435;27212;0.820223018904;"Undirected"
435;29136;0.820223018904;"Undirected"
435;30378;0.820223018904;"Undirected"
435;31062;0.820223018904;"Undirected"
438;5025;0.820223018904;"Undirected"
438;27212;0.820223018904;"Undirected"
438;29136;0.820223018904;"Undirected"
438;30378;0.820223018904;"Undirected"
438;31062;0.820223018904;"Undirected"
440;4602;0.843263137702;"Undirected"
440;11461;0.919355021042;"Undirected"
447;2961;0.937375405484;"Undirected"
447;23225;0.884878259722;"Undirected"
455;28925;0.920981178064;"Undirected"
457;31383;0.865185842702;"Undirected"
484;84;0.802223492239;"Undirected"
504;1253;0.816321687511;"Undirected"
504;1294;0.816321687511;"Undirected"
504;6582;0.81130985611;"Undirected"
504;20382;0.81130985611;"Undirected"
504;29035;0.816321687511;"Undirected"
507;5025;0.820223018904;"Undirected"
507;27212;0.820223018904;"Undirected"
507;29136;0.820223018904;"Undirected"
507;30378;0.820223018904;"Undirected"
507;31062;0.820223018904;"Undirected"
512;20504;0.912202028253;"Undirected"
519;31355;0.952205821297;"Undirected"
549;14218;0.877780281522;"Undirected"
552;2733;0.886780875966;"Undirected"
568;26129;0.840331913421;"Undirected"
580;25272;0.884528214863;"Undirected"
582;150;0.860406151125;"Undirected"
592;9302;0.828775615205;"Undirected"
600;17290;0.81126174005;"Undirected"
606;31140;0.855606254062;"Undirected"
697;4417;0.835929270371;"Undirected"
697;4772;0.85521174973;"Undirected"
697;7391;0.833135114814;"Undirected"
697;8474;0.835793022998;"Undirected"
697;10137;0.835793022998;"Undirected"
697;10181;0.835793022998;"Undirected"
697;11380;0.829880815224;"Undirected"
697;13616;0.883677209349;"Undirected"
697;15095;0.883677209349;"Undirected"
697;15183;0.857682566294;"Undirected"
697;15717;0.883677209349;"Undirected"
697;15869;0.883677209349;"Undirected"
697;16494;0.801366625668;"Undirected"
697;28571;0.857905364128;"Undirected"
706;1253;0.816321687511;"Undirected"
706;1294;0.816321687511;"Undirected"
706;6582;0.81130985611;"Undirected"
706;20382;0.81130985611;"Undirected"
706;29035;0.816321687511;"Undirected"
731;5025;0.820223018904;"Undirected"
731;27212;0.820223018904;"Undirected"
731;29136;0.820223018904;"Undirected"
