Source;Target;Weight;Type
0;21;0.24253585959;"Undirected"
0;56;0.291769977766;"Undirected"
0;171;0.201309021837;"Undirected"
0;198;0.328629042866;"Undirected"
0;234;0.270412738538;"Undirected"
0;244;0.259314958129;"Undirected"
0;285;0.258367553807;"Undirected"
0;289;0.287873033079;"Undirected"
0;337;0.224023488091;"Undirected"
0;365;0.390705343847;"Undirected"
0;455;0.251178073529;"Undirected"
0;502;0.293259981794;"Undirected"
0;520;0.218626758325;"Undirected"
0;532;0.241508731821;"Undirected"
0;591;0.320200623423;"Undirected"
0;681;0.228546810472;"Undirected"
0;684;0.294629355447;"Undirected"
0;712;0.292674468628;"Undirected"
0;728;0.234277368445;"Undirected"
0;732;0.229635868277;"Undirected"
0;812;0.397094156728;"Undirected"
0;860;0.249494501629;"Undirected"
0;866;0.205983760803;"Undirected"
0;897;0.213250035176;"Undirected"
0;914;0.222444426978;"Undirected"
0;919;0.235808016229;"Undirected"
0;939;0.354000991647;"Undirected"
0;1105;0.275189092397;"Undirected"
0;1109;0.202060086525;"Undirected"
0;1123;0.256218301561;"Undirected"
0;1167;0.208209034303;"Undirected"
1;278;0.247532697261;"Undirected"
1;283;0.211923992567;"Undirected"
1;443;0.211923992567;"Undirected"
2;9;0.281961362349;"Undirected"
2;132;0.240395045326;"Undirected"
2;133;0.236244114118;"Undirected"
2;230;0.403503993362;"Undirected"
2;401;0.223336378387;"Undirected"
3;10;0.299027815837;"Undirected"
3;593;0.2677929396;"Undirected"
3;613;0.258508932049;"Undirected"
3;913;0.200921566822;"Undirected"
4;27;0.396695661146;"Undirected"
5;210;0.256988327153;"Undirected"
5;677;0.383109065215;"Undirected"
5;708;0.252941400975;"Undirected"
5;714;0.203184657447;"Undirected"
5;724;0.308334135325;"Undirected"
5;725;0.307947397104;"Undirected"
5;773;0.228416935298;"Undirected"
6;489;0.345912480215;"Undirected"
6;1272;0.240136396546;"Undirected"
7;701;0.201230944997;"Undirected"
7;1053;0.281736933484;"Undirected"
8;77;0.209075228401;"Undirected"
8;87;0.331269503198;"Undirected"
8;184;0.219277891511;"Undirected"
8;250;0.276612267288;"Undirected"
8;591;0.259428355237;"Undirected"
8;1107;0.215081091741;"Undirected"
9;53;0.248645352858;"Undirected"
9;109;0.253854204874;"Undirected"
9;128;0.481911637692;"Undirected"
9;132;0.273581240808;"Undirected"
9;133;0.427605058217;"Undirected"
9;153;0.306483081485;"Undirected"
9;219;0.328663630674;"Undirected"
9;230;0.303883420376;"Undirected"
9;810;0.229440058744;"Undirected"
9;907;0.391608781643;"Undirected"
9;959;0.262086131815;"Undirected"
9;1102;0.200219683837;"Undirected"
10;177;0.352864605783;"Undirected"
10;316;0.210440206325;"Undirected"
10;593;0.249702800634;"Undirected"
10;876;0.208349478769;"Undirected"
10;913;0.246781482255;"Undirected"
11;258;0.226589743222;"Undirected"
11;453;0.226589743222;"Undirected"
11;804;0.265455706916;"Undirected"
11;910;0.226589743222;"Undirected"
11;1041;0.253016552411;"Undirected"
11;1063;0.226589743222;"Undirected"
12;14;0.283501034083;"Undirected"
12;112;0.250942678007;"Undirected"
12;327;0.239537808655;"Undirected"
12;379;0.216381868458;"Undirected"
12;468;0.318240932602;"Undirected"
12;551;0.237419955032;"Undirected"
13;16;0.37733637594;"Undirected"
13;27;0.208362987392;"Undirected"
13;411;0.201950260487;"Undirected"
13;917;0.232610649971;"Undirected"
14;25;0.213685854965;"Undirected"
14;112;0.312686675928;"Undirected"
15;840;0.232798657296;"Undirected"
16;112;0.300980863241;"Undirected"
16;395;0.215045234948;"Undirected"
16;468;0.206026410924;"Undirected"
17;888;0.212355527802;"Undirected"
18;449;0.234451029339;"Undirected"
18;506;0.209250778718;"Undirected"
18;631;0.235878127703;"Undirected"
18;764;0.234605239059;"Undirected"
18;1103;0.248750441521;"Undirected"
18;1205;0.392807710496;"Undirected"
19;137;0.242970624082;"Undirected"
20;195;0.215154597663;"Undirected"
20;932;0.202170130917;"Undirected"
20;1033;0.210287208848;"Undirected"
20;1159;0.204148811659;"Undirected"
21;684;0.203275189963;"Undirected"
21;712;0.201926444557;"Undirected"
23;619;0.238307567818;"Undirected"
23;1087;0.214093885111;"Undirected"
24;25;0.202805176217;"Undirected"
24;358;0.201546630478;"Undirected"
24;460;0.202183687797;"Undirected"
25;130;0.301877036116;"Undirected"
25;250;0.26436629409;"Undirected"
25;313;0.202608974222;"Undirected"
25;592;0.200278456719;"Undirected"
25;866;0.297476651449;"Undirected"
25;926;0.25277633208;"Undirected"
26;35;0.41803278632;"Undirected"
